appid,name,discount
207320,Ys: The Oath in Felghana,70%
208110,Myst V: End of Ages,nan
208400,Avernum: Escape From the Pit,70%
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,0
208630,Midnight Mysteries 3: Devil on the Mississippi,66%
209230,Sherlock Holmes and The Hound of The Baskervilles,0
209830,Lone Survivor: The Director's Cut,0
210230,Nancy Drew®: Tomb of the Lost Queen,40%
211260,They Bleed Pixels,nan
211740,Thief™ II: The Metal Age,0
212030,Kung Fu Strike - The Warrior's Rise,0
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,76%
213670,South Park™: The Stick of Truth™,80%
213850,Magic 2014 — Duels of the Planeswalkers,0
217140,Rise of the Triad,0
218410,Defender's Quest: Valley of the Forgotten (DX edition),0
220420,Nancy Drew®: The Deadly Device,40%
221380,Age of Empires II HD,nan
221830,The Book of Unwritten Tales: The Critter Chronicles,75%
223100,Homefront®: The Revolution,75%
223280,Cut the Rope,0
223330,Sea Dogs: To Each His Own - Pirate Open World RPG,nan
223810,Ys I & II Chronicles+,nan
224980,Tomb Raider IV: The Last Revelation,0
225020,Tomb Raider VI: The Angel of Darkness,0
225640,Sacred 2 Gold,nan
227060,Hegemony Rome: The Rise of Caesar,67%
227080,Papo & Yo,nan
227760,March of the Eagles,80%
228760,TrackMania² Canyon,nan
228960,Skulls of the Shogun,0
230190,War for the Overworld,75%
230270,N++ (NPLUSPLUS),nan
230290,Universe Sandbox ²,nan
230820,The Night of the Rabbit,90%
231040,Beatbuddy: Tale of the Guardians,80%
232050,Eador. Masters of the Broken World,80%
232910,TrackMania² Stadium,nan
233310,Avadon 2: The Corruption,70%
233410,Tomb Raider - The Final Hours Digital Book,0
234270,Ken Follett's The Pillars of the Earth,66%
235210,STRIDER™ / ストライダー飛竜®,nan
236970,Jack Keane 2 - The Fire Within,80%
237570,Penny Arcade's On the Rain-Slick Precipice of Darkness 4,76%
237850,Dreamfall Chapters,nan
238460,BattleBlock Theater®,nan
239720,PAC-MAN™ and the Ghostly Adventures,75%
240970,Half Minute Hero: The Second Coming,nan
242110,Joe Danger 2: The Movie,0
243000,Omikron: The Nomad Soul,0
243360,TrackMania² Valley,nan
243470,Watch_Dogs™,nan
245050,SpellForce 2 - Demons of the Past,75%
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,75%
245300,Disney Epic Mickey 2:  The Power of Two,0
246580,The Typing of The Dead: Overkill,0
246680,Secrets of Rætikon,nan
246740,Huntsman: The Orphanage (Halloween Edition),0
246940,Lords of the Black Sun,85%
246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,80%
247080,Crypt of the NecroDancer,80%
247140,Soundodger+,nan
247240,Volgarr the Viking,70%
247660,Deadly Premonition: The Director's Cut,0
248270,Songs2See,nan
248390,Craft The World,75%
248510,Dominions 3: The Awakening,75%
249050,Dungeon of the Endless™,0
249680,Marlow Briggs and the Mask of Death,0
250560,Fight The Dragon,85%
250620,Among the Sleep - Enhanced Edition,75%
250660,Bunny Must Die! Chelsea and the 7 Devils,0
251110,INFRA,nan
251150,The Legend of Heroes: Trails in the Sky,50%
251290,The Legend of Heroes: Trails in the Sky SC,nan
251830,Stick it to The Man!,80%
251990,Long Live The Queen,60%
252330,Slender: The Arrival,50%
252550,Qbeh-1: The Atlas Cube,0
252630,Eldritch Reanimated,nan
253030,Race The Sun,80%
253390,Hot Tin Roof: The Cat That Wore A Fedora,0
254480,Obscure II (Obscure: The Aftermath),nan
254590,Theme Park Studio,nan
254860,Lords of the Realm III,66%
254920,Lords of the Realm,66%
255320,Edna & Harvey: The Breakout,0
255390,Max: The Curse of Brotherhood,nan
255420,Magic 2015 - Duels of the Planeswalkers,0
256370,MXGP - The Official Motocross Videogame,60%
257120,Not The Robots,75%
257260,Inherit the Earth: Quest for the Orb,75%
257690,J.U.L.I.A.: Among the Stars,75%
257830,Violett Remastered,nan
257970,Loren The Amazon Princess,66%
258010,Ring Runner: Flight of the Sages,80%
258180,Deus Ex: The Fall,0
258590,Adventure Time: Finn and Jake's Epic Quest,nan
259130,Wasteland 1 - The Original Classic,0
259170,Alone in the Dark,75%
259190,Alone in the Dark: The New Nightmare,75%
259550,Hero of the Kingdom,65%
259640,Guise Of The Wolf,0
259740,Nightmares from the Deep: The Cursed Heart,70%
259980,YOU DON'T KNOW JACK Vol. 4 The Ride,50%
260080,YOU DON'T KNOW JACK Vol. 6 The Lost Gold,50%
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,nan
260250,Blood of the Werewolf,0
260690,Dark Fall: The Journal,75%
261640,Borderlands: The Pre-Sequel,75%
261720,Holy Avatar vs. Maidens of the Dead,80%
261920,Catzilla 4K - Advanced,nan
262000,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,nan
262300,Tsukumogami,nan
262470,Rollers of the Realm,80%
262630,Tom vs. The Armies of Hell,0
262870,Recovery Search & Rescue Simulation,nan
262900,Smooth Operators,nan
262940,Broken Sword 5 - the Serpent's Curse,80%
262960,Castle In The Darkness,50%
263040,Bot Colony,nan
263080,Pixel Boy and the Ever Expanding Dungeon,0
263280,Spintires®: The Original Game,nan
263400,War of the Human Tanks,75%
263960,Wyv and Keep: The Temple of the Lost Idol,90%
264220,Mr. Bree+,nan
264320,Captain Morgane and the Golden Turtle,90%
264400,Jacob Jones and the Bigfoot Mystery : Episode 1,0
265170,Acceleration of SUGURI X-Edition HD,nan
265300,Lords Of The Fallen™,0
265470,Even the Ocean,67%
266050,Into the Dark: Ultimate Trash Edition,50%
266490,Lili: Child of Geos - Complete Edition,nan
267940,Glacier 3: The Meltdown,75%
268650,From the Depths,0
268890,Masters of the World - Geopolitical Simulator 3,0
268970,You Are Not The Hero,0
269290,liteCam Game: 100 FPS Game Capture,nan
269370,Reaper - Tale of a Pale Swordsman,nan
269470,MorphVOX Pro - Voice Changer,nan
269530,Voice of Pripyat,nan
269590,Claustrophobia: The Downward Struggle,0
269670,BADLAND: Game of the Year Edition,0%
270070,The Girl and the Robot,50%
270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,85%
270130,The Gallery - Episode 1: Call of the Starseed,0
270330,Ku: Shroud of the Morrigan,0
270430,Cypress Inheritance: The Beginning,0
270490,The Forest of Doom (Standalone),nan
270570,Reversion - The Escape (1st Chapter),nan
270590,Long Night,nan
270630,Haunt the House: Terrortown,80%
271970,Hero and Daughter+,nan
273600,Descent: FreeSpace – The Great War,nan
273800,Forestry 2017 - The Simulation,0
273820,Mining & Tunneling Simulator,nan
275060,Alone in the Dark: Illumination™,75%
275810,7 Wonders of the Ancient World,0
276220,My Best Friends - Cats & Dogs,nan
276240,My Vet Practice - In the Country,65%
276300,My Riding Stables: Your Horse world,nan
276340,My Riding Stables: Life with Horses,nan
276360,Riding Star - Horse Championship!,nan
276460,Tales From The Dragon Mountain 2: The Lair,75%
276810,Mordheim: City of the Damned,75%
277510,Shiny The Firefly,90%
277540,Tales From The Dragon Mountain: The Strix,80%
277680,"About Love, Hate and the other ones",nan
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,nan
278100,"RIVE: Wreck, Hack, Die, Retry!",nan
278420,Spider: Rite of the Shrouded Moon,80%
279140,Making History: The Great War,0
279500,Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,80%
279580,Devil's Dare 悪魔の挑戦,nan
279720,The I of the Dragon,80%
279800,Grim Legends 2: Song of the Dark Swan,60%
280380,Uprising44: The Silent Shadows,0
281060,Reversion - The Meeting (2nd Chapter),60%
281240,Adventure Chronicles: The Search For Lost Treasure,90%
281940,Woolfe - The Red Hood Diaries,66%
282050,MX vs. ATV Supercross Encore,nan
282780,Stick 'Em Up 2: Paper Adventures,nan
282900,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,nan
283160,House of the Dying Sun,66%
283290,Nosferatu: The Wrath of Malachi,75%
283920,Putt-Putt® Joins the Parade,60%
283940,Freddi Fish and the Case of the Missing Kelp Seeds,60%
284410,Cornerstone: The Song of Tyrim,75%
284710,Abyss: The Wraiths of Eden,70%
284730,Dark Arcana: The Carnival,70%
284750,Enigmatis: The Ghosts of Maple Creek,70%
284770,Enigmatis 2: The Mists of Ravenwood,60%
284790,Nightmares from the Deep 2: The Siren`s Call,0
284810,Nightmares from the Deep 3: Davy Jones,70%
284850,Grim Legends: The Forsaken Bride,60%
284870,9 Clues: The Secret of Serpent Creek,70%
284890,Left in the Dark: No One on Board,70%
284910,Purgatory: War of the Damned,0
285380,On The Road,33%
285500,Hard Truck Apocalypse / Ex Machina,nan
286220,Pier Solar and the Great Architects,0
286360,Shadows on the Vatican Act I: Greed,90%
286810,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,nan
286830,Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,nan
287290,Resident Evil Revelations 2 / Biohazard Revelations 2,nan
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,0
287720,Nostradamus: The Last Prophecy,60%
287780,Derrick the Deathfin,0
287840,TY the Tasmanian Tiger 4,50%
288000,Oncoming Death Steam Edition,nan
288270,liteCam HD 5.0: Screen/Stream Capture,nan
288630,Sharpe Investigations: Death on the Seine,70%
288670,Myths Of Orion: Light From The North,0
288970,Dark Lore Mysteries: The Hunt For Truth,80%
289050,Shannon Tweed's Attack Of The Groupies,90%
289200,Ascension to the Throne,77%
289260,Dreamscapes: The Sandman - Premium Edition,0
289380,Konung 3: Ties of the Dynasty,0
289580,Aggression: Europe Under Fire,nan
289690,LARA CROFT AND THE TEMPLE OF OSIRIS™,0
289800,Dracula: The Resurrection,70%
289820,Dracula 2: The Last Sanctuary,70%
289840,Dracula 3: The Path of the Dragon,70%
289930,TransOcean: The Shipping Company,70%
290460,Legionwood 2: Rise of the Eternal's Realm - Director's Cut,nan
291130,Akane the Kunoichi,66%
292060,Titanfall - The Final Hours,nan
292090,Rube Works: The Official Rube Goldberg Invention Game,0
292300,Spy Fox In: Hold the Mustard,60%
292390,Realms of the Haunting,75%
292670,Princess Isabella - Return of the Curse,80%
292860,Pajama Sam's Lost & Found,nan
292910,Deponia: The Complete Journey,85%
292990,NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),nan
293180,Overcast - Walden and the Werewolf,51%
293220,H-Hour: World's Elite,nan
293400,Epic Space®,nan
293420,Heldric - The legend of the shoemaker,86%
293760,Automation - The Car Company Tycoon Game,15%
293840,Cult of the Wind,80%
293940,Kill The Bad Guy,75%
294140,They Breathe,nan
294390,Escape The Lost Kingdom: The Forgotten Pharaoh,80%
294530,Freddi Fish 2: The Case of the Haunted Schoolhouse,60%
294540,Freddi Fish 3: The Case of the Stolen Conch Shell,60%
294550,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,60%
294570,Freddi Fish 5: The Case of the Creature of Coral Cove,60%
294650,Putt-Putt® Goes to the Moon,60%
294660,Putt-Putt® Saves The Zoo,60%
294680,Putt-Putt® Enters the Race,60%
294690,Putt-Putt® Joins the Circus,60%
294790,Haegemonia: The Solon Heritage,67%
295490,Schrödinger’s Cat And The Raiders Of The Lost Quark,0
295770,Rogue Shooter: The FPS Roguelike,0
295850,Vlad the Impaler,0
295950,新流星搜劍錄,nan
296550,Niko: Through The Dream,70%
296850,Al Emmo and the Lost Dutchman's Mine,0
297020,The Culling Of The Cows,80%
297070,Nicolas Eymerich The Inquisitor Book II : The Village,75%
297290,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,0
298020,Escape The Museum,80%
