index,appid,name,release_date,english,developer,publisher,required_age,achievements,total_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,may_19_av,may_19_peak,jun_19_av,jun_19_peak,jul_19_av,may_jun_avuplift,may_jun_avupliftpc,jun_jul_avuplift,jun_jul_avupliftpc
4844,358770,The Reject Demon: Toko Chapter 0 — Prelude,2015-05-08,1,Lupiesoft,Lupiesoft,18,0,164,0.8902439024390244,3.99,60.0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,96.0,0.15,3.0,0.2,3.0,0.11,0.05000000000000002,0.3333333333333335,-0.09000000000000001,-0.45
4845,358810,Luckslinger,2015-07-16,1,Duckbridge,Duckbridge,0,1,108,0.8518518518518519,6.99,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,12.0,0.21,2.0,0.09,2.0,0.08,-0.12,-0.5714285714285714,-0.009999999999999995,-0.11111111111111106
4846,358830,Good Robot,2016-04-05,1,Pyrodactyl,Pyrodactyl,0,1,217,0.847926267281106,6.19,80.0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,83.0,0.26,3.0,0.25,2.0,0.26,-0.010000000000000009,-0.03846153846153849,0.010000000000000009,0.040000000000000036
4848,358960,Canabalt,2015-04-30,1,Finji;Kittehface Software,Finji,0,1,204,0.8578431372549019,1.99,50.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,28.0,0.16,2.0,0.23,4.0,0.2,0.07,0.43750000000000006,-0.03,-0.13043478260869565
4849,359040,The Music Machine,2015-05-06,1,David Szymanski,David Szymanski,0,0,277,0.8916967509025271,3.99,50.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33.0,0.78,2.0,0.9,3.0,1.05,0.12,0.15384615384615383,0.15000000000000002,0.16666666666666669
4850,359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,2015-09-02,1,marbenx,marbenx,16,1,8681,0.9512728948277848,0.79,30.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,229.0,8.16,17.0,6.98,16.0,6.94,-1.1799999999999997,-0.14460784313725486,-0.040000000000000036,-0.005730659025787971
4851,359060,Switch Galaxy Ultra,2015-11-20,1,Atomicom Limited,Green Man Gaming Publishing,0,1,81,0.41975308641975306,6.99,90.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,97.0,0.34,5.0,0.26,3.0,0.3,-0.08000000000000002,-0.23529411764705885,0.03999999999999998,0.15384615384615377
4854,359100,Q.U.B.E. 2,2018-03-13,1,Toxic Games,Trapped Nerve Games,0,1,663,0.8250377073906485,19.99,50.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,357.0,8.47,22.0,8.14,23.0,8.12,-0.33000000000000007,-0.03896103896103897,-0.02000000000000135,-0.0024570024570026226
4855,359140,Kick Ass Commandos,2016-11-17,1,Anarchy Enterprises,Anarchy Enterprises,0,1,377,0.9575596816976127,6.99,0.0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,164.0,0.25,3.0,0.67,5.0,0.15,0.42000000000000004,1.6800000000000002,-0.52,-0.7761194029850746
4857,359190,Rituals,2015-05-27,1,Tymon Zgainski,Mudvark,0,1,216,0.6388888888888888,3.99,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18.0,0.08,2.0,0.1,2.0,0.07,0.020000000000000004,0.25000000000000006,-0.03,-0.3
4858,359220,MX vs. ATV Unleashed,2015-04-16,1,Rainbow Studios,THQ Nordic,0,0,269,0.6728624535315985,8.99,75.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.0,1.69,10.0,2.03,8.0,2.67,0.33999999999999986,0.20118343195266264,0.6400000000000001,0.31527093596059125
4859,359230,Lethis - Path of Progress,2015-06-25,1,Triskell Interactive,Triskell Interactive,0,1,821,0.6954933008526187,14.99,90.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,270.0,5.91,21.0,9.22,49.0,12.53,3.3100000000000005,0.5600676818950932,3.3099999999999987,0.3590021691973968
4860,359250,City of Fools,2015-07-10,1,Absolutist Ltd.,Absolutist Ltd.,0,1,67,0.7014925373134329,5.59,75.0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,546.0,0.07,1.0,0.18,3.0,0.22,0.10999999999999999,1.5714285714285712,0.04000000000000001,0.22222222222222227
4861,359260,Green Moon,2015-05-15,1,Absolutist Ltd.,Absolutist Ltd.,0,0,24,0.625,4.99,66.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,874.0,0.37,1.0,0.01,1.0,0.07,-0.36,-0.9729729729729729,0.060000000000000005,6.0
