index,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,jun_19_av,jul_19_av,jun_jul_avuplift,jun_jul_avupliftpc
2171,265970,Worlds of Magic,2015-03-19,1,Wastelands Interactive,Wastelands Interactive,0,1,221,243,0.47629310344827586,18.99,80.0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,202.0,2.59,1.91,-0.6799999999999999,-0.2625482625482625
2172,265990,Rogue's Tale,2014-03-28,1,Epixx.org,Epixx.org,0,1,213,98,0.684887459807074,3.99,0.0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,186.0,13.12,10.9,-2.219999999999999,-0.16920731707317066
2173,266010,LYNE,2014-03-17,1,Thomas Bowker,Thomas Bowker,0,1,6860,263,0.9630773550470307,1.99,70.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,239.0,13.02,15.28,2.26,0.17357910906298002
2174,266050,Into the Dark: Ultimate Trash Edition,2014-05-01,1,Homegrown Games,Homegrown Games,18,1,89,113,0.4405940594059406,3.99,50.0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1919.0,1.05,0.85,-0.20000000000000007,-0.19047619047619052
2175,266090,Starlite: Astronaut Rescue - Developed in Collaboration with NASA,2014-01-27,1,Project Whitecard Studios Inc.,Project Whitecard Studios Inc.,0,1,74,115,0.3915343915343915,1.99,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,23.0,0.02,0.09,0.06999999999999999,3.4999999999999996
2176,266110,Tower of Guns,2014-03-04,1,Terrible Posture Games,Terrible Posture Games LLC,0,1,801,173,0.8223819301848049,10.99,75.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,341.0,2.25,2.4,0.1499999999999999,0.06666666666666662
2177,266130,Breach & Clear,2014-03-21,1,Mighty Rabbit Studios;Gun.,Good Shepherd Entertainment;Devolver Digital,0,1,1626,349,0.8232911392405063,10.99,90.0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,508.0,15.84,8.73,-7.109999999999999,-0.44886363636363635
2178,266170,Windforge,2014-03-11,1,Snowed In Studios,Snowed In Studios,0,1,357,172,0.6748582230623819,6.99,50.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,212.0,1.4,1.61,0.2100000000000002,0.15000000000000013
2179,266190,Astral Terra,2015-11-10,1,Tethys Interactive LLC,Tethys Interactive LLC,0,0,83,65,0.5608108108108109,7.19,40.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,7.0,0.3,0.08,-0.21999999999999997,-0.7333333333333333
2180,266210,One Way Heroics,2014-02-28,1,Smoking WOLF,AGM PLAYISM,0,1,3349,199,0.9439120631341601,2.29,60.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,775.0,20.74,18.95,-1.7899999999999991,-0.08630665380906458
2181,266230,Last Dream,2014-03-13,1,White Giant RPG Studios,White Giant RPG Studios,0,1,368,67,0.8459770114942529,6.99,0.0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,265.0,2.45,2.91,0.45999999999999996,0.1877551020408163
