appid,name,discount
12440,Ankh 2: Heart of Osiris ,90%
12450,Ankh 3: Battle of the Gods,90%
12460,BC Kings,80%
12470,Port Royale 2,80%
12480,9th Company: Roots Of Terror,90%
12500,PuzzleQuest: Challenge of the Warlords,0
12510,Prison Tycoon 3™: Lockdown,80%
12520,18 Wheels of Steel: American Long Haul,80%
12530,Hunting Unlimited™ 2008,80%
12540,Mahjongg Investigations: Under Suspicion,80%
12560,Ride! Carnival Tycoon,80%
12590,Sprint Cars Road to Knoxville,80%
12600,Midnight Outlaw: 6 Hours to SunUp,80%
12640,Drakensang,75%
12670,Mission Runway,80%
12710,Overlord™: Raising Hell,75%
12770,Rise of the Argonauts,80%
12790,Damnation,80%
12810,Overlord II,75%
12830,Operation Flashpoint: Dragon Rising,75%
13000,Ninja Reflex: Steamworks Edition,0
13200,Unreal 2: The Awakening,0
13210,Unreal Tournament 3 Black,
13230,Unreal Tournament 2004: Editor's Choice Edition,0
13240,Unreal Tournament: Game of the Year Edition,0
13250,Unreal Gold,0
13500,Prince of Persia: Warrior Within™,66%
13520,Far Cry®,60%
13530,Prince of Persia: The Two Thrones™,66%
13540,Tom Clancy's Rainbow Six® Vegas,66%
13560,Tom Clancy's Splinter Cell®,66%
13570,Tom Clancy's Splinter Cell Chaos Theory®,66%
13580,Tom Clancy's Splinter Cell Double Agent®,66%
13600,Prince of Persia®: The Sands of Time,66%
13620,Tom Clancy's Ghost Recon® Desert Siege™,66%
15000,Tom Clancy's Rainbow Six Lockdown™,66%
15080,Rayman Raving Rabbids™,66%
15100,Assassin's Creed™: Director's Cut Edition,66%
15120,Tom Clancy's Rainbow Six® Vegas 2,66%
15130,Beyond Good and Evil™,66%
15160,Petz® Horsez® 2,0
15170,Heroes of Might & Magic V,
15190,Brothers in Arms: Road to Hill 30™,75%
15200,Silent Hunter®: Wolves of the Pacific,66%
15210,Silent Hunter® III,66%
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,66%
15270,Cold Fear™,75%
15300,Tom Clancy's Ghost Recon®,66%
15320,IL-2 Sturmovik: 1946,75%
15370,Heroes of Might & Magic V: Tribes of the East,
15380,Heroes of Might & Magic V: Hammers of Fate,0
15390,Brothers in Arms: Hell's Highway™,75%
15400,Harvest: Massive Encounter,0
15500,The Wonderful End of the World,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,0
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0
15620,"Warhammer 40,000: Dawn of War II",0
15700,Oddworld: Abe's Oddysee®,75%
15710,Oddworld: Abe's Exoddus®,75%
15740,Oddworld: Munch's Oddysee,75%
15750,Oddworld: Stranger's Wrath HD,0
15800,Planet Busters,0
15900,7 Wonders II,66%
15910,Luxor Amun Rising,66%
15920,Luxor 2,66%
15930,Luxor 3,66%
15960,Little Farm,66%
15970,Luxor,66%
16000,Discovery! A Seek and Find Adventure,66%
16020,Samantha Swift and the Hidden Roses of Athena,
16030,7 Wonders: Treasures of Seven,66%
16040,Luxor: Quest for the Afterlife ,66%
16060,Samantha Swift and the Golden Touch,66%
16100,Virtual Villagers: A New Home,0
16110,Virtual Villagers: The Lost Children,0
16120,Plant Tycoon,0
16130,Fish Tycoon,0
16180,Virtual Villagers - The Secret City,0
16200,Virtual Families,0
16450,F.E.A.R. 2: Project Origin,0
16500,Chaos Theory,0
16600,Trials 2: Second Edition,0
16620,Monster Trucks Nitro ,0
16710,Insecticide Part 1,51%
16720,Velvet Assassin,75%
16730,Legendary,75%
16810,Sid Meier's Civilization IV: Colonization,0
16900,GROUND BRANCH,25%
17100,Children of the Nile: Enhanced Edition,60%
17120,Children of the Nile: Alexandria,60%
17140,Hinterland,60%
17180,Mosby's Confederacy,60%
17300,Crysis,75%
17330,Crysis Warhead®,75%
17390,SPORE™,75%
17410,Mirror's Edge™,75%
17430,Need for Speed Undercover,75%
17440,SPORE™ Creepy & Cute Parts Pack,0
17450,Dragon Age: Origins,75%
17460,Mass Effect,75%
17470,Dead Space,75%
17480,Command & Conquer: Red Alert 3,0
17710,Nuclear Dawn,82%
18000,"Precipice of Darkness, Episode One",
18020,"Precipice of Darkness, Episode Two",
18040,DeathSpank,75%
18050,DeathSpank: Thongs of Virtue,0
18070,The Baconing,0
18120,Unstoppable Gorg,90%
18300,Spectraball,90%
18400,Crazy Machines 2,50%
18420,Crazy Machines,0
18470,Helldorado,75%
18480,Mata Hari,50%
18500,Defense Grid: The Awakening,0
18600,Mayhem Intergalactic,0
18700,And Yet It Moves,90%
18820,Zero Gear,60%
19000,Silent Hill Homecoming,0
19020,Puzzle Chronicles,0
19030,Rocket Knight,0
19080,Biozone,0
19200,Tank Universal,80%
19320,Space Ark,0
19500,Eternity's Child,0
19800,Brothers in Arms: Earned in Blood™,75%
19830,Tom Clancy's Rainbow Six® 3 Gold,
19900,Far Cry® 2: Fortune's Edition,0
19980,Prince of Persia®,66%
20200,Galactic Bowling,0
20510,S.T.A.L.K.E.R.: Clear Sky,70%
20530,Red Faction,75%
20540,Company of Heroes: Tales of Valor,0
20550,Red Faction II,75%
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",0
20700,Starscape,0
20710,Mr. Robot,0
20820,Shatter,80%
20900,The Witcher: Enhanced Edition Director's Cut,85%
20920,The Witcher 2: Assassins of Kings Enhanced Edition,85%
21000,LEGO® Batman™: The Videogame,75%
21010,Watchmen: The End is Nigh,0
21030,Watchmen: The End is Nigh Part 2,0
21090,F.E.A.R.,0
21100,F.E.A.R. 3,75%
21130,LEGO® Harry Potter: Years 1-4,75%
21300,Gravitron 2,0
21400,Project Aftermath,0
21500,Pyroblazer®,0
21640,Flock!,50%
21660,Street Fighter® IV,0
21670,Bionic Commando,80%
21680,Bionic Commando: Rearmed,80%
21690,Resident Evil™ 5/ Biohazard 5®,0
21780,Driver® Parallel Lines,75%
21800,Tom Clancy's EndWar™,66%
21980,Call of Juarez®: Bound in Blood,75%
22000,World of Goo,70%
22100,Mount & Blade,0
22130,Hearts of Iron 2 Complete,75%
22200,Zeno Clash,0
22230,Rock of Ages,50%
22300,Fallout 3,67%
22310,Rogue Warrior,0
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,50%
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,50%
22370,Fallout 3: Game of the Year Edition,50%
22380,Fallout: New Vegas,67%
22450,Hunted: The Demon’s Forge™,50%
22500,Spectromancer,0
22600,Worms Reloaded,80%
22610,Alien Breed: Impact,80%
22650,Alien Breed 2: Assault,80%
22670,Alien Breed 3: Descent,80%
23150,Fluttabyes,40%
23300,Yosumin!™,50%
23380,Gyromancer,50%
23400,Imperium Romanum Gold Edition,80%
23420,Europa Universalis: Rome - Gold Edition ,75%
23450,Grand Ages: Rome,50%
23460,Ceville,75%
23490,Tropico 3,75%
23500,Puzzle Quest: Galactrix,0
23530,Earth Defense Force: Insect Armageddon,0
23600,Depths of Peril,75%
23700,Puzzle Kingdoms,90%
24010,Train Simulator 2019,60%
24240,PAYDAY™ The Heist,50%
24400,King Arthur - The Role-playing Wargame,75%
24410,Crusaders: Thy Kingdom Come,75%
24420,Aquaria,50%
24460,King Arthur: Fallen Champions,50%
24480,King Arthur II: The Role-Playing Wargame,0
24640,Trainz: Classic Cabon City,62%
24650,Trainz Settle and Carlisle,62%
24670,Trainz™ Simulator 12,75%
24720,SPORE™ Galactic Adventures,75%
24740,Burnout Paradise: The Ultimate Box,75%
24780,SimCity™ 4 Deluxe Edition,75%
24790,Command & Conquer 3: Tiberium Wars,
24800,Command & Conquer: Red Alert 3 - Uprising,75%
24810,Command & Conquer 3: Kane's Wrath,
24840,Medal of Honor: Airborne,75%
24870,Need for Speed: Shift,75%
